owner_id,title,description,category,street,barangay,city,coordinates,image_url,rent,amenities,rating,max_renters,is_available,is_verified,has_internet,allows_pets,is_furnished,has_ac,is_secure,has_parking,number_reviews
25,House for Rent in East Balabag Valencia,2 BEDROOMS 1 CR LOT AREA ALMOST 1000 SQ. MTRS.,apartment,,Calindagan,Dumaguete,"9.295283293402345, 123.3003033173419","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room1.jpg""}",35000,{},NULL,1,true,false,NULL,NULL,NULL,NULL,true,true,0
26,House for Rent in Sibulan,"Corner Unit, Semi-Furnished Accessible location.",apartment,,Maslog,Sibulan,"9.34491563058079, 123.29390022231674","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room2.jpg""}",18000,{},NULL,2,true,true,NULL,NULL,true,true,true,true,0
27,Apartment #1,"3 bedrooms (2 with air conditioning, all with beds and foam mattress) 2 toilet and bath 1 refrigirator 1 dining set 1 sala set 1 induction cooker Payment: 1 month advance, 1 month deposit. Accessible location.",apartment,,Daro,Dumaguete,"9.319473514168708, 123.2911134321135","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room5.jpg""}",20000,{},NULL,3,true,true,NULL,NULL,true,true,true,true,0
28,Affordable Room,"5500 good for two or three persons. No curfew. Payment: 1 month advance, no deposit. Accessible location.",room,,Pulantubig,Dumaguete,"9.323558055423076, 123.29427782162698","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room3.jpg""}",5500,{},NULL,1,true,false,false,NULL,true,false,NULL,true,0
29,House For Rent in Batinguel,"3 Bedrooms with A/C. 2 Bathrooms. Payment: 1 month advance, 2 months deposit. Accessible location.",apartment,,Batinguel,Dumaguete,"9.316039873005867, 123.2836135506086","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room1.jpg""}",35000,{},NULL,1,true,true,NULL,NULL,false,true,true,true,0
30,Mangnao Canal Rooms,"Allowed to cook and do laundry. Small pets allowed max of 1. Good for 2 persons. 2 common bathrooms. Payment: 1 month advance, 1 month deposit.",room,,Mangnao,Dumaguete,"9.31415892601694, 123.30917131550001","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room1.jpg""}",4000,{},NULL,4,true,false,false,true,true,false,true,true,0
31,Room For Rent in Pulantubig,"No curfew. Payment: 1 month advance, no deposit.",apartment,,Pulantubig,Dumaguete,"9.325051293090407, 123.29083456154554","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room1.jpg""}",5000,{},NULL,1,true,true,NULL,NULL,true,false,true,NULL,0
32,House for Rent in Sibulan,"4 Bedrooms, 2 Bathrooms. Payment: 1 month advance, 2 months deposit. Accessible location.",apartment,,Tubtubon,Sibulan,"9.345309321943738, 123.27844415216089","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room2.jpg""}",25000,{},NULL,2,true,true,NULL,NULL,false,NULL,true,true,0
33,Fully Furnished House,3 Bedrooms. 1 Master Bedroom with Queen Size Bed (with AC). 2 Bedrooms with Single Size Bed (1 with AC). 2 Bathrooms.,apartment,,Cangmating,Sibulan,"9.349730568839272, 123.28648038798194","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room1.jpg""}",20000,{},NULL,2,true,true,NULL,NULL,true,true,true,true,0
33,2-Storey Townhouse,"3 Airconditioned Bedrooms. 2 Toilet and Bathrooms(downstairs/upstairs). Kitchen with Cabinets. Living and Dining Area. Payment: 1 month advance, 1 month deposit.",apartment,,Cangmating,Sibulan,"9.349730568839272, 123.28648038798194","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room1.jpg""}",18000,{},NULL,3,true,false,NULL,false,false,true,true,true,0
